wavelength (nm)	, Reflectance
822.000010, 1.000000 
824.000010, 1.000000 
826.000010, 1.000000 
828.000010, 1.000000 
830.000010, 1.000000 
832.000010, 1.000000 
834.000010, 1.000000 
836.000010, 1.000000 
838.000010, 1.000000 
840.000010, 1.000000 
842.000010, 1.000000 
844.000010, 1.000000 
846.000010, 1.000000 
848.000010, 1.000000 
850.000010, 1.000000 
852.000010, 1.000000 
854.000010, 1.000000 
856.000010, 1.000000 
858.000010, 1.000000 
860.000010, 1.000000 
862.000010, 1.000000 
864.000010, 1.000000 
866.000010, 1.000000 
868.000010, 1.000000 
870.000010, 1.000000 
872.000010, 1.000000 
874.000010, 1.000000 
876.000010, 1.000000 
878.000010, 1.000000 
880.000010, 1.000000 
882.000010, 1.000000 
884.000010, 1.000000 
886.000010, 1.000000 
888.000010, 1.000000 
890.000010, 1.000000 
892.000010, 1.000000 
894.000010, 1.000000 
896.000010, 1.000000 
898.000010, 1.000000 
900.000010, 1.000000 
902.000010, 1.000000 
904.000010, 1.000000 
906.000010, 1.000000 
908.000010, 1.000000 
910.000010, 1.000000 
912.000010, 1.000000 
914.000010, 1.000000 
916.000010, 1.000000 
918.000010, 1.000000 
920.000010, 1.000000 
922.000010, 1.000000 
924.000010, 1.000000 
926.000010, 1.000000 
928.000010, 1.000000 
930.000010, 1.000000 
932.000010, 1.000000 
934.000010, 1.000000 
936.000010, 1.000000 
938.000010, 1.000000 
940.000010, 1.000000 
942.000010, 1.000000 
944.000010, 1.000000 
946.000010, 1.000000 
948.000010, 1.000000 
950.000010, 1.000000 
952.000010, 1.000000 
954.000010, 1.000000 
956.000010, 0.999999 
958.000010, 0.999999 
960.000010, 0.999999 
962.000010, 0.999999 
964.000010, 0.999999 
966.000010, 0.999999 
968.000010, 0.999999 
970.000010, 0.999999 
972.000010, 0.999999 
974.000010, 0.999999 
976.000010, 0.999999 
978.000010, 0.999999 
980.000010, 0.999998 
982.000010, 0.999998 
984.000010, 0.999998 
986.000010, 0.999998 
988.000010, 0.999998 
990.000010, 0.999997 
992.000010, 0.999997 
994.000010, 0.999997 
996.000010, 0.999997 
998.000010, 0.999996 
1000.000010, 0.999996 
1002.000010, 0.999995 
1004.000010, 0.999995 
1006.000010, 0.999994 
1008.000010, 0.999994 
1010.000010, 0.999993 
1012.000010, 0.999992 
1014.000010, 0.999991 
1016.000010, 0.999990 
1018.000010, 0.999989 
1020.000010, 0.999988 
1022.000010, 0.999986 
1024.000010, 0.999985 
1026.000010, 0.999983 
1028.000010, 0.999981 
1030.000010, 0.999978 
1032.000010, 0.999976 
1034.000010, 0.999973 
1036.000010, 0.999969 
1038.000010, 0.999965 
1040.000010, 0.999960 
1042.000010, 0.999955 
1044.000010, 0.999949 
1046.000010, 0.999942 
1048.000010, 0.999934 
1050.000010, 0.999925 
1052.000010, 0.999914 
1054.000010, 0.999901 
1056.000010, 0.999886 
1058.000010, 0.999869 
1060.000010, 0.999849 
1062.000010, 0.999825 
1064.000010, 0.999798 
1066.000010, 0.999765 
1068.000010, 0.999726 
1070.000010, 0.999680 
1072.000010, 0.999625 
1074.000010, 0.999559 
1076.000010, 0.999480 
1078.000010, 0.999384 
1080.000010, 0.999267 
1082.000010, 0.999125 
1084.000010, 0.998951 
1086.000010, 0.998736 
1088.000010, 0.998469 
1090.000010, 0.998134 
1092.000010, 0.997711 
1094.000010, 0.997173 
1096.000010, 0.996481 
1098.000010, 0.995582 
1100.000010, 0.994398 
1102.000010, 0.992818 
1104.000010, 0.990677 
1106.000010, 0.987719 
1108.000010, 0.983547 
1110.000010, 0.977513 
1112.000010, 0.968521 
1114.000010, 0.954639 
1116.000010, 0.932279 
1118.000010, 0.894403 
1120.000010, 0.826551 
1122.000010, 0.699004 
1124.000010, 0.463216 
1126.000010, 0.134438 
1128.000010, 0.007077 
1130.000010, 0.206571 
1132.000010, 0.440231 
1134.000010, 0.597118 
1136.000010, 0.693773 
1138.000010, 0.754491 
1140.000010, 0.794100 
1142.000010, 0.820815 
1144.000010, 0.839245 
1146.000010, 0.852076 
1148.000010, 0.860928 
1150.000010, 0.866813 
1152.000010, 0.870377 
1154.000010, 0.872030 
1156.000010, 0.872031 
1158.000010, 0.870530 
1160.000010, 0.867599 
1162.000010, 0.863244 
1164.000010, 0.857415 
1166.000010, 0.850012 
1168.000010, 0.840880 
1170.000010, 0.829811 
1172.000010, 0.816533 
1174.000010, 0.800704 
1176.000010, 0.781902 
1178.000010, 0.759617 
1180.000010, 0.733237 
1182.000010, 0.702051 
1184.000010, 0.665255 
1186.000010, 0.621993 
1188.000010, 0.571436 
1190.000010, 0.512943 
1192.000010, 0.446323 
1194.000010, 0.372240 
1196.000010, 0.292717 
1198.000010, 0.211618 
1200.000010, 0.134819 
1202.000010, 0.069665 
1204.000010, 0.023490 
1206.000010, 0.001550 
1208.000010, 0.005329 
1210.000010, 0.032217 
1212.000010, 0.076675 
1214.000010, 0.132119 
1216.000010, 0.192526 
1218.000010, 0.253287 
1220.000010, 0.311359 
1222.000010, 0.365026 
1224.000010, 0.413525 
1226.000010, 0.456712 
1228.000010, 0.494797 
1230.000010, 0.528171 
1232.000010, 0.557293 
1234.000010, 0.582633 
1236.000010, 0.604633 
1238.000010, 0.623692 
1240.000010, 0.640164 
1242.000010, 0.654355 
1244.000010, 0.666530 
1246.000010, 0.676911 
1248.000010, 0.685689 
1250.000010, 0.693025 
1252.000010, 0.699052 
1254.000010, 0.703883 
1256.000010, 0.707611 
1258.000010, 0.710312 
1260.000010, 0.712048 
1262.000010, 0.712867 
1264.000010, 0.712808 
1266.000010, 0.711897 
1268.000010, 0.710155 
1270.000010, 0.707590 
1272.000010, 0.704206 
1274.000010, 0.700000 
1276.000010, 0.694959 
1278.000010, 0.689067 
1280.000010, 0.682302 
1282.000010, 0.674633 
1284.000010, 0.666028 
1286.000010, 0.656447 
1288.000010, 0.645846 
1290.000010, 0.634176 
1292.000010, 0.621387 
1294.000010, 0.607422 
1296.000010, 0.592225 
1298.000010, 0.575739 
1300.000010, 0.557909 
1302.000010, 0.538682 
1304.000010, 0.518013 
1306.000010, 0.495867 
1308.000010, 0.472224 
1310.000010, 0.447085 
1312.000010, 0.420476 
1314.000010, 0.392458 
1316.000010, 0.363133 
1318.000010, 0.332650 
1320.000010, 0.301220 
1322.000010, 0.269112 
1324.000010, 0.236667 
1326.000010, 0.204294 
1328.000010, 0.172469 
1330.000010, 0.141724 
1332.000010, 0.112633 
1334.000010, 0.085791 
1336.000010, 0.061783 
1338.000010, 0.041154 
1340.000010, 0.024377 
1342.000010, 0.011818 
1344.000010, 0.003720 
1346.000010, 0.000178 
1348.000010, 0.001144 
1350.000010, 0.006427 
1352.000010, 0.015718 
1354.000010, 0.028608 
